Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
2021-01-13,0.6115459200773736,0.44517063980870963,0.0,0.6156443922132526,0.6115459200773737,0.017524410918963174,2021-01-13
2021-01-14,0.6270004522291972,0.461314397507427,0.0,0.6310819460513826,0.6270004522291973,0.01608259525722433,2021-01-14
2021-01-15,0.6446788510730515,0.4778204477936381,0.0,0.6487892244132112,0.6446788510730516,0.011487481213838358,2021-01-15
2021-01-16,0.6578342611348376,0.49434098978334906,0.0,0.6618617381491856,0.6578342611348375,0.014571741092257895,2021-01-16
2021-01-17,0.6701200532640985,0.5030070284761974,0.0,0.6742366989252186,0.6701200532640982,0.007289091009746507,2021-01-17
2021-01-18,0.6820124965769248,0.5111223824360553,0.0,0.6862221866821645,0.6820124965769244,0.0,2021-01-18
2021-01-19,0.6925938933031754,0.5329613796101731,0.0,0.6965262647966726,0.6925938933031753,0.015002932628254806,2021-01-19
2021-01-20,0.7048093076991151,0.5570465908267517,0.0,0.708449279796203,0.704809307699115,0.030326022811636433,2021-01-20
2021-01-21,0.7167843229069768,0.5734801825954641,0.0,0.7203144628717262,0.7167843229069767,0.03476270643432011,2021-01-21
2021-01-22,0.7297153603932234,0.591609303673647,0.0,0.7331174512828511,0.7297153603932235,0.03998525577730283,2021-01-22
2021-01-23,0.7403403076970245,0.6094775740888341,0.0,0.7435639672842662,0.7403403076970246,0.04833730642786005,2021-01-23
2021-01-24,0.7499493071277314,0.6174625027171945,0.0,0.7532129739138753,0.7499493071277316,0.04443047693305546,2021-01-24
2021-01-25,0.7569693118242258,0.6254039562350555,0.0,0.7602102797315884,0.7569693118242257,0.044520048540345636,2021-01-25
2021-01-26,0.7632127226218424,0.6474313455546701,0.0,0.766064869569377,0.7632127226218423,0.06508090231251851,2021-01-26
2021-01-27,0.7711960660937502,0.6701543366422724,0.0,0.7736851180253181,0.7711960660937499,0.0836437541152395,2021-01-27
2021-01-28,0.7803179958651341,0.6859213100499963,0.0,0.7826433544515052,0.780317995865134,0.09078877240463012,2021-01-28
2021-01-29,0.7896235348714702,0.7022099847837113,0.0,0.8245561489079225,0.7896235348714701,0.09823408397342126,2021-01-29
2021-01-30,0.7969710399111429,0.7181218752264329,0.0,0.8320846516572593,0.7969710399111428,0.10808185272342063,2021-01-30
2021-01-31,0.8036095415482962,0.7257734946742991,0.0,0.8388866854846511,0.8036095415482961,0.10798745758700257,2021-01-31
2021-02-01,0.8094679652403678,0.7311064415622057,0.0,0.8448894250043104,0.8094679652403679,0.10603890373425195,2021-02-01
2021-02-02,0.8147013510434371,0.7507571915078617,0.0,0.8502517295136656,0.814701351043437,0.12379775000504578,2021-02-02
2021-02-03,0.8207165568146899,0.7677559597130643,0.0,0.8564151132666789,0.8207165568146902,0.13673965852861025,2021-02-03
2021-02-04,0.8271721460261319,0.779595681472357,0.0,0.8630297288218243,0.8271721460261315,0.14219056632512506,2021-02-04
2021-02-05,0.8332044236237843,0.7925222809941308,0.0,0.8692106049469142,0.8332044236237842,0.1496314783947632,2021-02-05
2021-02-06,0.8388841157455895,0.8030142743279474,0.0,0.8397677298578012,0.8388841157455894,0.15441590735695532,2021-02-06
2021-02-07,0.8439241369843351,0.8077820447793638,0.0,0.844814457695412,0.8439241369843352,0.15282286038499238,2021-02-07
2021-02-08,0.8481990616766764,0.8121875226432866,0.0,0.8490861663538862,0.8481990616766765,0.1519420278529544,2021-02-08
2021-02-09,0.8520022465129924,0.8263024418520397,0.0,0.8526353329494529,0.8520022465129921,0.1640966040647267,2021-02-09
2021-02-10,0.8560266682832642,0.8397217592928048,0.0,0.8564283217925326,0.8560266682832641,0.17495793657945313,2021-02-10
2021-02-11,0.8602078721327171,0.8483298311716543,0.0,0.8605004746144627,0.860207872132717,0.1794458713137992,2021-02-11
